Circumstellar Disks http://www.circumstellardisks.org/,,,,,,,,,,,,,,,,,,,,,,,
Downloaded on Mar. 19 2020,,,,,,,,,,,,,,,,,,,,,,,
Database maintained by Karl Stapelfeldt. Last updated Mar. 13 2020,,,,,,,,,,,,,,,,,,,,,,,
Object,Category,Spec Type,R band (mag),Distance (pc),Disk Major Axis &quot;,Disk Diameter (AU),Inclination (degrees),Resolution elements across,At ref. wavelength (microns),Secondary Name,RA (J2000),DEC (J2000),Star-Forming Region,Class,Disk Minor Axis&quot;,Major axis PA,Spatial Resolution &quot;,Date Added,Date Updated,Fractional Infrared Luminosity,XRay Bright,Variable Star,Halpha equivalent width
rho Vir,Debris,A0V,4.8,36.9,5,185,70,1.2,70,HD 110411,12 41 53.06,+10 14 08.3,,,,97,4.125,2013,2/4/2018 11:06,5.1e&minus;05,0,0,
HD 153053,Debris,A5IV,5.72,50.7,7.4,375,37,1.3,100,,17 00 06.28,-54 35 49.8,,,,83,5.893,7/17/2017,12/26/2019 18:53,3.70E-05,,,
beta Tri,Debris,A5 III,2.9,38.9,5.6,218,41,1.4,70,HD 13161,02 09 32.63,+34 59 14.3,,,,64,4,2013,8/2/2017 22:06,,0,0,
HD 10939,Debris,A1V,5.12,57,5.6,319,32,1.4,70,,01 46 06.26,-53 31 19.3,,,,17,4.125,7/13/2017,12/26/2019 18:39,7.60E-05,,,
HD 112810,Debris,F3,9.51,143,1.96,280,83,1.4,1240,HIP 63439,12 59 59.89,-50 23 22.5,Sco-Cen,,,94,1.43,7/29/2017,3/12/2020 20:52,0.0008,,,
HD 145560,Debris,F5,9.3,134,1.84,247,53,1.4,1240,HIP 79516,16 13 34.33,-45 49 03.7,Sco-Cen,,,22,1.34,7/29/2017,3/13/2020 15:07,0.0002,,,
HD 23484,Debris,K2V,6.52,16.26,15.8,257,64,1.4,160,HIP 17439,03 44 09.17,-38 16 54.4,,,,111,11.3,7/17/2017,12/26/2019 18:49,0.0001,,,
BP Tau,TT,K7,11.1,140,1.5,210,30,1.5,1300.39,,04 19 15.84,+29 06 26.9,Taurus,,,-28,1,1/1/2005,10/18/2018 7:42,,0,0,
LkHa 330,YSO,G2,11.2,250,0.5,125,42,1.5,880,,03 45 48.28,+32 24 11.9,,,0.38,165,0.33,1/1/2005,1/12/2016,,0,0,
DO Tau,TT,M0,12.3,140,5.1,714,42,1.6,1300.39,,04 38 28.57,+26 10 49.4,Taurus,,3.9,160,3.2,1/1/2005,10/18/2018 11:27,,0,0,
HD 110058,Debris,A0,7.99,107,2.24,240,50,1.6,1240,HIP 61782,12 39 46.20,-49 11 55.5,Sco-Cen,,,&minus;30,1.41,7/17/2017,3/12/2020 21:24,0.0015,,,
HD 188228,Debris,A0,3.96,32.2,6.48,209,49,1.6,70,eps Pav,20 00 35.56,-72 54 37.8,,,,&minus;4.1,4.125,7/17/2017,12/26/2019 18:51,,,,
HD 192425,Debris,A1Va,5.04,47.1,9.6,452,63,1.6,100,,20 14 16.62,+15 11 51.4,,,,98,5.893,7/17/2017,12/26/2019 18:50,4.9e&minus;05,,,
HD 20794,Debris,G6,3.7,6,10,60,50,1.7,70,,03 19 55.65,-43 04 11.2,,,,8,6,12/24/2018,12/24/2019 12:58,3.00E-06,,,
HT Lup C,,,,154,0.059,9,66,1.7,1250,Sz 68  C,15 45 12.65,-34 17 29.7,Lupus,,0.025,79,0.035,12/22/2018,12/22/2019 23:09,,,,
DoAr 44,TT,K5,11.7,125,1.28,160,35,1.8,880,,16 31 33.46,-24 27 37.3,,,,80,0.7,1/1/2005,3/18/2019 22:21,,0,0,
Haro 6-13,YSO,M0,15,140,2.57,359.8,40,1.8,1300,,04 32 15.41,+24 28 59.7,,,,90,1.4,1/1/2005,1/12/2016,,0,0,
HD 142446,Debris,F3V,9.32,144,2.5,360,20,1.8,1240,HIP 78043,15 56 05.63,-36 53 34.3,Sco-Cen,,,&minus;50,1.41,7/29/2017,3/12/2020 21:00,0.0007,,,
HD 138813,Debris,A0,7.32,151,1.85,279,28,1.9,1240,HIP 76310,15 35 16.11,-25 44 03.0,Upper Sco,,,48,0.97,7/29/2017,3/12/2020 21:05,0.001,,,
HD 156623,Debris,A0V,7.28,118,2.54,300,30,1.9,1240,HIP 84881,17 20 50.62,-45 25 14.5,,,,&minus;86,1.32,7/20/2017,12/26/2019 18:51,,,,
L1551 IRS 5,YSO,,,147,0.12,18,,2,7000,HBC 393,04 31 34,+18 08 05,Taurus,,0.08,159,0.06,1/1/2005,1/4/2020 11:20,,0,0,
gamma Oph,Debris,A0,3.7,29.1,36,1048,50,2.1,70,HD 161868,17 47 53.56,+02 42 26.2,,,23,55,16.99,1/1/2005,12/24/2019 15:03,7.50E-05,0,0,
HD 16743,Debris,F0,6.86,58.9,12.56,740,54.2,2.1,100,,02 39 07.56,-52 56 05.3,,,7.33,165,5.893,7/17/2017,12/26/2019 18:52,,,,
